year,NDVI,EVI,NDWI,district
2018,0.4246654622623551,0.3496836601140182,0.018238981597010283,Umaria
2019,0.5177677067897106,-2.1303946208896063,0.08480343194907618,Umaria
2020,0.4655708333941178,0.729295148159267,0.039376498653485956,Umaria
2021,0.3744466435466609,-0.4615711127737367,0.03396479806547951,Umaria
2022,0.3000607982703862,0.23431438915651612,0.039872452798507464,Umaria
