Year,Season,Area,Production,Crop_yield,crop_type,district
2018 - 2019,Rabi,6416,4125,0.64,Gram,Alirajpur
2019 - 2020,Rabi,10838,10524,0.97,Gram,Alirajpur
2020 - 2021,Rabi,7810,8786,1.12,Gram,Anuppur
2021 - 2022,Rabi,6472,8808,1.36,Gram,Anuppur
2022 - 2023,Rabi,16500,12210,0.74,Gram,Anuppur
2018 - 2019,Rabi,100024,150336,1.5,Gram,Anuppur
2019 - 2020,Rabi,67745,95927,1.42,Gram,Anuppur
2020 - 2021,Rabi,71366,128459,1.8,Gram,Ashoknagar
2021 - 2022,Rabi,31206,62256,2,Gram,Ashoknagar
2022 - 2023,Rabi,32710,45467,1.39,Gram,Ashoknagar
2020 - 2021,Rabi,49437,70695,1.43,Gram,Balaghat
2021 - 2022,Rabi,46544,88387,1.9,Gram,Balaghat
2022 - 2023,Rabi,55800,58981,1.06,Gram,Balaghat
2018 - 2019,Rabi,8969,24530,2.73,Gram,Balaghat
2019 - 2020,Rabi,7003,11730,1.67,Gram,Balaghat
2020 - 2021,Rabi,12723,21642,1.7,Gram,Barwani
2021 - 2022,Rabi,16732,31122,1.86,Gram,Barwani
2022 - 2023,Rabi,13900,23769,1.71,Gram,Barwani
2018 - 2019,Rabi,56716,95113,1.68,Gram,Barwani
2019 - 2020,Rabi,53445,65737,1.23,Gram,Barwani
2020 - 2021,Rabi,54825,106360,1.94,Gram,Betul
2021 - 2022,Rabi,54737,69516,1.27,Gram,Betul
2022 - 2023,Rabi,61800,63530,1.03,Gram,Betul
2018 - 2019,Rabi,1835,2916,1.59,Gram,Betul
2019 - 2020,Rabi,1301,1609,1.24,Gram,Betul
2020 - 2021,Rabi,4427,8080,1.83,Gram,Bhind
2021 - 2022,Rabi,1631,3117,1.91,Gram,Bhind
2022 - 2023,Rabi,4350,5907,1.36,Gram,Bhind
2018 - 2019,Rabi,4789,5838,1.22,Gram,Bhind
2019 - 2020,Rabi,5238,8716,1.66,Gram,Bhind
2020 - 2021,Rabi,4552,6064,1.33,Gram,Bhopal
2021 - 2022,Rabi,2849,4547,1.6,Gram,Bhopal
2022 - 2023,Rabi,3530,4956,1.4,Gram,Bhopal
2018 - 2019,Rabi,15217,28243,1.86,Gram,Bhopal
2019 - 2020,Rabi,9385,18967,2.02,Gram,Bhopal
2020 - 2021,Rabi,19084,36450,1.91,Gram,Burhanpur
2021 - 2022,Rabi,22874,42774,1.87,Gram,Burhanpur
2022 - 2023,Rabi,21500,42355,1.97,Gram,Burhanpur
2018 - 2019,Rabi,69638,115460,1.66,Gram,Burhanpur
2019 - 2020,Rabi,78354,128422,1.64,Gram,Burhanpur
2020 - 2021,Rabi,92851,175488,1.89,Gram,Chhatarpur
2021 - 2022,Rabi,82851,134136,1.62,Gram,Chhatarpur
2022 - 2023,Rabi,86900,165110,1.9,Gram,Chhatarpur
2018 - 2019,Rabi,36698,81066,2.21,Gram,Chhatarpur
2019 - 2020,Rabi,41853,114803,2.74,Gram,Chhatarpur
2020 - 2021,Rabi,47207,93471,1.98,Gram,Chhindwara
2021 - 2022,Rabi,42143,81757,1.94,Gram,Chhindwara
2022 - 2023,Rabi,55200,112056,2.03,Gram,Chhindwara
2020 - 2021,Rabi,106976,179185,1.68,Gram,Damoh
2021 - 2022,Rabi,98697,178049,1.8,Gram,Damoh
2022 - 2023,Rabi,109900,203315,1.85,Gram,Damoh
2018 - 2019,Rabi,5474,11353,2.07,Gram,Damoh
2019 - 2020,Rabi,4251,9752,2.29,Gram,Damoh
2020 - 2021,Rabi,9968,13657,1.37,Gram,Datia
2021 - 2022,Rabi,12453,21668,1.74,Gram,Datia
2022 - 2023,Rabi,16390,26863,1.64,Gram,Datia
2018 - 2019,Rabi,250864,325621,1.3,Gram,Datia
2019 - 2020,Rabi,81717,115548,1.41,Gram,Datia
2020 - 2021,Rabi,78787,148750,1.89,Gram,Dewas
2021 - 2022,Rabi,88167,148561,1.68,Gram,Dewas
2022 - 2023,Rabi,72000,142200,1.98,Gram,Dewas
2018 - 2019,Rabi,151068,114358,0.76,Gram,Dewas
2019 - 2020,Rabi,53499,80623,1.51,Gram,Dewas
2020 - 2021,Rabi,46094,72598,1.57,Gram,Dhar
2021 - 2022,Rabi,65100,85607,1.32,Gram,Dhar
2022 - 2023,Rabi,61640,90549,1.47,Gram,Dhar
2018 - 2019,Rabi,8233,5195,0.63,Gram,Dhar
2019 - 2020,Rabi,13514,12379,0.92,Gram,Dhar
2020 - 2021,Rabi,10244,12498,1.22,Gram,Dindori
2021 - 2022,Rabi,74910,70790,0.95,Gram,Dindori
2022 - 2023,Rabi,24600,31980,1.3,Gram,Dindori
2018 - 2019,Rabi,98483,140535,1.43,Gram,Dindori
2019 - 2020,Rabi,73909,111307,1.51,Gram,Dindori
2020 - 2021,Rabi,89988,156218,1.74,Gram,Guna
2021 - 2022,Rabi,28798,43456,1.51,Gram,Guna
2022 - 2023,Rabi,28040,42340,1.51,Gram,Guna
2018 - 2019,Rabi,5637,9059,1.61,Gram,Guna
2019 - 2020,Rabi,5949,8656,1.46,Gram,Guna
2020 - 2021,Rabi,14286,28200,1.97,Gram,Gwalior
2021 - 2022,Rabi,2507,4986,1.99,Gram,Gwalior
2022 - 2023,Rabi,8460,16835,1.99,Gram,Gwalior
2018 - 2019,Rabi,46061,58037,1.26,Gram,Gwalior
2019 - 2020,Rabi,25836,57718,2.23,Gram,Gwalior
2020 - 2021,Rabi,52097,83355,1.6,Gram,Harda
2021 - 2022,Rabi,91360,154581,1.69,Gram,Harda
2022 - 2023,Rabi,96100,221222,2.3,Gram,Harda
2020 - 2021,Rabi,24709,46576,1.88,Gram,Hoshangabad
2021 - 2022,Rabi,49121,83997,1.71,Gram,Hoshangabad
2022 - 2023,Rabi,64400,129444,2.01,Gram,Hoshangabad
2018 - 2019,Rabi,79173,74343,0.94,Gram,Hoshangabad
2019 - 2020,Rabi,14153,24994,1.77,Gram,Hoshangabad
2020 - 2021,Rabi,8036,12456,1.55,Gram,Indore
2021 - 2022,Rabi,6252,8922,1.43,Gram,Indore
2022 - 2023,Rabi,14200,24282,1.71,Gram,Indore
2018 - 2019,Rabi,32568,60967,1.87,Gram,Indore
2019 - 2020,Rabi,21712,44987,2.07,Gram,Indore
2020 - 2021,Rabi,25509,48238,1.89,Gram,Jabalpur
2021 - 2022,Rabi,25886,50219,1.94,Gram,Jabalpur
2022 - 2023,Rabi,23500,41713,1.78,Gram,Jabalpur
2018 - 2019,Rabi,17355,13572,0.78,Gram,Jabalpur
2019 - 2020,Rabi,15177,18106,1.19,Gram,Jabalpur
2020 - 2021,Rabi,17093,29057,1.7,Gram,Jhabua
2021 - 2022,Rabi,18586,21876,1.18,Gram,Jhabua
2022 - 2023,Rabi,17500,22348,1.28,Gram,Jhabua
2018 - 2019,Rabi,23533,47042,2,Gram,Jhabua
2019 - 2020,Rabi,17877,39615,2.22,Gram,Jhabua
2020 - 2021,Rabi,20273,32822,1.62,Gram,Katni
2021 - 2022,Rabi,20620,39384,1.91,Gram,Katni
2022 - 2023,Rabi,32600,55811,1.71,Gram,Katni
2018 - 2019,Rabi,51544,78708,1.53,Gram,Katni
2019 - 2020,Rabi,36626,57539,1.57,Gram,Katni
2020 - 2021,Rabi,58405,85271,1.46,Gram,Khandwa
2021 - 2022,Rabi,90950,135606,1.49,Gram,Khandwa
2022 - 2023,Rabi,61430,106888,1.74,Gram,Khandwa
2018 - 2019,Rabi,83183,94662,1.14,Gram,Khandwa
2019 - 2020,Rabi,58727,75347,1.28,Gram,Khandwa
2020 - 2021,Rabi,94672,150055,1.58,Gram,Khargone
2021 - 2022,Rabi,114532,144654,1.26,Gram,Khargone
2022 - 2023,Rabi,90540,177458,1.96,Gram,Khargone
2018 - 2019,Rabi,7790,8600,1.1,Gram,Khargone
2019 - 2020,Rabi,13909,16454,1.18,Gram,Khargone
2020 - 2021,Rabi,9690,13566,1.4,Gram,Mandla
2021 - 2022,Rabi,7933,10464,1.32,Gram,Mandla
2022 - 2023,Rabi,24000,32472,1.35,Gram,Mandla
2020 - 2021,Rabi,104995,133973,1.28,Gram,Mandsaur
2021 - 2022,Rabi,32765,31192,0.95,Gram,Mandsaur
2022 - 2023,Rabi,32840,41904,1.28,Gram,Mandsaur
2018 - 2019,Rabi,2987,4842,1.62,Gram,Mandsaur
2019 - 2020,Rabi,1476,3061,2.07,Gram,Mandsaur
2020 - 2021,Rabi,2197,4003,1.82,Gram,Morena
2021 - 2022,Rabi,493,976,1.98,Gram,Morena
2022 - 2023,Rabi,4100,7101,1.73,Gram,Morena
2018 - 2019,Rabi,82424,131219,1.59,Gram,Morena
2019 - 2020,Rabi,75165,126578,1.68,Gram,Morena
2020 - 2021,Rabi,82435,142777,1.73,Gram,Narsinghpur
2021 - 2022,Rabi,81812,131717,1.61,Gram,Narsinghpur
2022 - 2023,Rabi,78800,129153,1.64,Gram,Narsinghpur
2018 - 2019,Rabi,20972,21811,1.04,Gram,Narsinghpur
2019 - 2020,Rabi,16582,30610,1.85,Gram,Narsinghpur
2020 - 2021,Rabi,58262,71663,1.23,Gram,Neemuch
2021 - 2022,Rabi,15070,22575,1.5,Gram,Neemuch
2022 - 2023,Rabi,20720,29982,1.45,Gram,Neemuch
2019 - 2020,Rabi,1382,1788,1.29,Gram,Neemuch
2020 - 2021,Rabi,2326,3350,1.44,Gram,Neemuch
2021 - 2022,Rabi,1689,2993,1.77,Gram,Niwari
2022 - 2023,Rabi,1700,2162,1.27,Gram,Niwari
2018 - 2019,Rabi,86655,135788,1.57,Gram,Niwari
2019 - 2020,Rabi,72156,123098,1.71,Gram,Niwari
2020 - 2021,Rabi,71865,129644,1.8,Gram,Panna
2021 - 2022,Rabi,65150,115055,1.77,Gram,Panna
2022 - 2023,Rabi,68600,118404,1.73,Gram,Panna
2018 - 2019,Rabi,144261,250870,1.74,Gram,Panna
2019 - 2020,Rabi,110435,179126,1.62,Gram,Panna
2020 - 2021,Rabi,114529,218750,1.91,Gram,Raisen
2021 - 2022,Rabi,102068,160247,1.57,Gram,Raisen
2022 - 2023,Rabi,113420,231377,2.04,Gram,Raisen
2018 - 2019,Rabi,110839,140876,1.27,Gram,Raisen
2019 - 2020,Rabi,44028,70841,1.61,Gram,Raisen
2020 - 2021,Rabi,35171,59440,1.69,Gram,Rajgarh
2021 - 2022,Rabi,10758,18160,1.69,Gram,Rajgarh
2022 - 2023,Rabi,54660,87456,1.6,Gram,Rajgarh
2020 - 2021,Rabi,37231,68654,1.84,Gram,Ratlam
2021 - 2022,Rabi,17370,18239,1.05,Gram,Ratlam
2022 - 2023,Rabi,45100,77572,1.72,Gram,Ratlam
2018 - 2019,Rabi,27882,38143,1.37,Gram,Ratlam
2019 - 2020,Rabi,21526,26326,1.22,Gram,Ratlam
2020 - 2021,Rabi,13258,19807,1.49,Gram,Rewa
2021 - 2022,Rabi,9700,12726,1.31,Gram,Rewa
2022 - 2023,Rabi,45720,73381,1.61,Gram,Rewa
2018 - 2019,Rabi,168477,196444,1.17,Gram,Rewa
2019 - 2020,Rabi,127931,206992,1.62,Gram,Rewa
2020 - 2021,Rabi,118693,154301,1.3,Gram,Sagar
2021 - 2022,Rabi,105240,136391,1.3,Gram,Sagar
2022 - 2023,Rabi,104800,135821,1.3,Gram,Sagar
2018 - 2019,Rabi,55850,78860,1.41,Gram,Sagar
2019 - 2020,Rabi,34674,61026,1.76,Gram,Sagar
2020 - 2021,Rabi,30397,54259,1.79,Gram,Satna
2021 - 2022,Rabi,22600,34149,1.51,Gram,Satna
2022 - 2023,Rabi,40000,68080,1.7,Gram,Satna
2018 - 2019,Rabi,107811,133901,1.24,Gram,Satna
2019 - 2020,Rabi,47101,77340,1.64,Gram,Satna
2020 - 2021,Rabi,52163,93894,1.8,Gram,Sehore
2021 - 2022,Rabi,47357,60191,1.27,Gram,Sehore
2022 - 2023,Rabi,53500,94481,1.77,Gram,Sehore
2018 - 2019,Rabi,34827,38414,1.1,Gram,Sehore
2019 - 2020,Rabi,37105,50092,1.35,Gram,Sehore
2020 - 2021,Rabi,34771,62101,1.79,Gram,Seoni
2021 - 2022,Rabi,30676,50922,1.66,Gram,Seoni
2022 - 2023,Rabi,48000,97920,2.04,Gram,Seoni
2018 - 2019,Rabi,3970,4248,1.07,Gram,Seoni
2019 - 2020,Rabi,5208,8671,1.66,Gram,Seoni
2020 - 2021,Rabi,4407,5972,1.36,Gram,Shahdol
2021 - 2022,Rabi,4087,6719,1.64,Gram,Shahdol
2022 - 2023,Rabi,8800,12100,1.38,Gram,Shahdol
2018 - 2019,Rabi,96983,71379,0.74,Gram,Shahdol
2019 - 2020,Rabi,30657,79279,2.59,Gram,Shahdol
2020 - 2021,Rabi,22386,34923,1.56,Gram,Shajapur
2021 - 2022,Rabi,7935,9839,1.24,Gram,Shajapur
2022 - 2023,Rabi,18600,24180,1.3,Gram,Shajapur
2020 - 2021,Rabi,39135,71147,1.82,Gram,Sheopur
2021 - 2022,Rabi,17365,33341,1.92,Gram,Sheopur
2022 - 2023,Rabi,28300,54619,1.93,Gram,Sheopur
2018 - 2019,Rabi,91069,101633,1.12,Gram,Sheopur
2019 - 2020,Rabi,86406,118808,1.37,Gram,Sheopur
2020 - 2021,Rabi,81214,128318,1.58,Gram,Shivpuri
2021 - 2022,Rabi,31314,46846,1.5,Gram,Shivpuri
2022 - 2023,Rabi,32320,51712,1.6,Gram,Shivpuri
2018 - 2019,Rabi,15368,16013,1.04,Gram,Shivpuri
2019 - 2020,Rabi,11850,14635,1.24,Gram,Shivpuri
2020 - 2021,Rabi,10302,17770,1.72,Gram,Sidhi
2021 - 2022,Rabi,7450,9216,1.24,Gram,Sidhi
2022 - 2023,Rabi,17000,22457,1.32,Gram,Sidhi
2018 - 2019,Rabi,10997,27921,2.54,Gram,Sidhi
2019 - 2020,Rabi,11756,26827,2.28,Gram,Sidhi
2020 - 2021,Rabi,11728,21110,1.8,Gram,Singrauli
2021 - 2022,Rabi,7862,10590,1.35,Gram,Singrauli
2022 - 2023,Rabi,32300,42604,1.32,Gram,Singrauli
2018 - 2019,Rabi,10387,13545,1.3,Gram,Singrauli
2019 - 2020,Rabi,5416,9267,1.71,Gram,Singrauli
2020 - 2021,Rabi,7849,11381,1.45,Gram,Tikamgarh
2021 - 2022,Rabi,6513,11977,1.84,Gram,Tikamgarh
2022 - 2023,Rabi,6200,7725,1.25,Gram,Tikamgarh
2018 - 2019,Rabi,230532,194569,0.84,Gram,Tikamgarh
2019 - 2020,Rabi,50357,73572,1.46,Gram,Tikamgarh
2020 - 2021,Rabi,39187,56822,1.45,Gram,Ujjain
2021 - 2022,Rabi,19757,28766,1.46,Gram,Ujjain
2022 - 2023,Rabi,16160,25856,1.6,Gram,Ujjain
2018 - 2019,Rabi,8119,10668,1.31,Gram,Ujjain
2019 - 2020,Rabi,9185,9718,1.06,Gram,Ujjain
2020 - 2021,Rabi,10390,16832,1.62,Gram,Umaria
2021 - 2022,Rabi,84190,96650,1.15,Gram,Umaria
2022 - 2023,Rabi,18090,29849,1.65,Gram,Umaria
2018 - 2019,Rabi,202075,260071,1.29,Gram,Umaria
2019 - 2020,Rabi,115759,179426,1.55,Gram,Umaria
2020 - 2021,Rabi,113505,198634,1.75,Gram,Vidisha
2021 - 2022,Rabi,78513,123344,1.57,Gram,Vidisha
2022 - 2023,Rabi,94130,174141,1.85,Gram,Vidisha
2020 - 2021,Rabi,49,33,0.67,Linseed,Agar malwa
2021 - 2022,Rabi,49,37,0.76,Linseed,Agar malwa
2022 - 2023,Rabi,390,277,0.71,Linseed,Agar malwa
2018 - 2019,Rabi,3086,1315,0.43,Linseed,Agar malwa
2019 - 2020,Rabi,4961,2692,0.54,Linseed,Agar malwa
2020 - 2021,Rabi,5916,3608,0.61,Linseed,Anuppur
2021 - 2022,Rabi,5021,2390,0.48,Linseed,Anuppur
2022 - 2023,Rabi,5686,3639,0.64,Linseed,Anuppur
2018 - 2019,Rabi,30,42,1.4,Linseed,Anuppur
2019 - 2020,Rabi,6,9,1.5,Linseed,Anuppur
2020 - 2021,Rabi,11,6,0.55,Linseed,Ashoknagar
2021 - 2022,Rabi,14,14,1,Linseed,Ashoknagar
2022 - 2023,Rabi,98,75,0.77,Linseed,Ashoknagar
2018 - 2019,Rabi,4950,2930,0.59,Linseed,Ashoknagar
2019 - 2020,Rabi,4375,2881,0.66,Linseed,Ashoknagar
2020 - 2021,Rabi,6015,2346,0.39,Linseed,Balaghat
2021 - 2022,Rabi,6556,3147,0.48,Linseed,Balaghat
2022 - 2023,Rabi,711,441,0.62,Linseed,Balaghat
2019 - 2020,Rabi,7,5,0.71,Linseed,Balaghat
2022 - 2023,Rabi,1,1,1,Linseed,Barwani
2018 - 2019,Rabi,11,8,0.73,Linseed,Barwani
2019 - 2020,Rabi,38,25,0.66,Linseed,Barwani
2020 - 2021,Rabi,22,16,0.73,Linseed,Betul
2021 - 2022,Rabi,16,14,0.88,Linseed,Betul
2018 - 2019,Rabi,3,2,0.67,Linseed,Betul
2019 - 2020,Rabi,1,1,1,Linseed,Betul
2020 - 2021,Rabi,1,2,2,Linseed,Bhopal
2021 - 2022,Rabi,3,2,0.67,Linseed,Bhopal
2022 - 2023,Rabi,2,1,0.5,Linseed,Bhopal
2020 - 2021,Rabi,1,1,1,Linseed,Burhanpur
2018 - 2019,Rabi,2255,1610,0.71,Linseed,Burhanpur
2019 - 2020,Rabi,2715,2116,0.78,Linseed,Burhanpur
2020 - 2021,Rabi,2040,2244,1.1,Linseed,Chhatarpur
2021 - 2022,Rabi,1555,790,0.51,Linseed,Chhatarpur
2022 - 2023,Rabi,1980,1287,0.65,Linseed,Chhatarpur
2020 - 2021,Rabi,35,37,1.06,Linseed,Chhindwara
2021 - 2022,Rabi,4,4,1,Linseed,Chhindwara
2022 - 2023,Rabi,15,14,0.93,Linseed,Chhindwara
2018 - 2019,Rabi,63,55,0.87,Linseed,Chhindwara
2019 - 2020,Rabi,89,85,0.96,Linseed,Chhindwara
2020 - 2021,Rabi,44,39,0.89,Linseed,Damoh
2021 - 2022,Rabi,130,111,0.85,Linseed,Damoh
2022 - 2023,Rabi,531,455,0.86,Linseed,Damoh
2018 - 2019,Rabi,1,1,1,Linseed,Datia
2019 - 2020,Rabi,8,12,1.5,Linseed,Datia
2020 - 2021,Rabi,2,2,1,Linseed,Dewas
2021 - 2022,Rabi,1,1,1,Linseed,Dewas
2018 - 2019,Rabi,11,10,0.91,Linseed,Dewas
2019 - 2020,Rabi,11,12,1.09,Linseed,Dewas
2020 - 2021,Rabi,11,6,0.55,Linseed,Dhar
2021 - 2022,Rabi,5,3,0.6,Linseed,Dhar
2022 - 2023,Rabi,9,5,0.56,Linseed,Dhar
2018 - 2019,Rabi,2261,857,0.38,Linseed,Dhar
2019 - 2020,Rabi,3888,2317,0.6,Linseed,Dhar
2020 - 2021,Rabi,3833,2491,0.65,Linseed,Dindori
2021 - 2022,Rabi,3093,1500,0.48,Linseed,Dindori
2018 - 2019,Rabi,2,2,1,Linseed,Dindori
2019 - 2020,Rabi,1,3,3,Linseed,Dindori
2020 - 2021,Rabi,7,6,0.86,Linseed,Guna
2021 - 2022,Rabi,13,12,0.92,Linseed,Guna
2022 - 2023,Rabi,27,20,0.74,Linseed,Guna
2019 - 2020,Rabi,13,22,1.69,Linseed,Guna
2020 - 2021,Rabi,1,1,1,Linseed,Gwalior
2019 - 2020,Rabi,2,3,1.5,Linseed,Gwalior
2020 - 2021,Rabi,2,2,1,Linseed,Harda
2018 - 2019,Rabi,25,20,0.8,Linseed,Harda
2019 - 2020,Rabi,2,3,1.5,Linseed,Harda
2020 - 2021,Rabi,6,8,1.33,Linseed,Hoshangabad
2021 - 2022,Rabi,26,20,0.77,Linseed,Hoshangabad
2022 - 2023,Rabi,29,19,0.66,Linseed,Hoshangabad
2020 - 2021,Rabi,1,1,1,Linseed,Indore
2021 - 2022,Rabi,13,8,0.62,Linseed,Indore
2022 - 2023,Rabi,3,1,0.33,Linseed,Indore
2018 - 2019,Rabi,63,62,0.98,Linseed,Indore
2019 - 2020,Rabi,84,106,1.26,Linseed,Indore
2020 - 2021,Rabi,159,151,0.95,Linseed,Jabalpur
2021 - 2022,Rabi,76,69,0.91,Linseed,Jabalpur
2022 - 2023,Rabi,158,130,0.82,Linseed,Jabalpur
2019 - 2020,Rabi,2,1,0.5,Linseed,Jabalpur
2022 - 2023,Rabi,1,1,1,Linseed,Jhabua
2018 - 2019,Rabi,169,139,0.82,Linseed,Jhabua
2019 - 2020,Rabi,225,266,1.18,Linseed,Jhabua
2020 - 2021,Rabi,145,158,1.09,Linseed,Katni
2021 - 2022,Rabi,69,61,0.88,Linseed,Katni
2022 - 2023,Rabi,182,157,0.86,Linseed,Katni
2018 - 2019,Rabi,4,2,0.5,Linseed,Katni
2019 - 2020,Rabi,14,6,0.43,Linseed,Katni
2020 - 2021,Rabi,2,1,0.5,Linseed,Khandwa
2019 - 2020,Rabi,16,14,0.88,Linseed,Khandwa
2020 - 2021,Rabi,1,1,1,Linseed,Khargone
2021 - 2022,Rabi,2,2,1,Linseed,Khargone
2018 - 2019,Rabi,658,392,0.6,Linseed,Khargone
2019 - 2020,Rabi,1677,1292,0.77,Linseed,Khargone
2020 - 2021,Rabi,2164,1406,0.65,Linseed,Mandla
2021 - 2022,Rabi,2139,1155,0.54,Linseed,Mandla
2022 - 2023,Rabi,2242,1480,0.66,Linseed,Mandla
2018 - 2019,Rabi,8893,7595,0.85,Linseed,Mandla
2019 - 2020,Rabi,12088,11438,0.95,Linseed,Mandla
2020 - 2021,Rabi,7625,8235,1.08,Linseed,Mandsaur
2021 - 2022,Rabi,18253,16245,0.89,Linseed,Mandsaur
2022 - 2023,Rabi,31665,25332,0.8,Linseed,Mandsaur
2019 - 2020,Rabi,1,2,2,Linseed,Mandsaur
2020 - 2021,Rabi,7,6,0.86,Linseed,Narsinghpur
2021 - 2022,Rabi,8,7,0.88,Linseed,Narsinghpur
2022 - 2023,Rabi,4,3,0.75,Linseed,Narsinghpur
2018 - 2019,Rabi,2215,1555,0.7,Linseed,Narsinghpur
2019 - 2020,Rabi,2748,3462,1.26,Linseed,Narsinghpur
2020 - 2021,Rabi,2999,2400,0.8,Linseed,Neemuch
2021 - 2022,Rabi,6128,5270,0.86,Linseed,Neemuch
2022 - 2023,Rabi,9281,7193,0.78,Linseed,Neemuch
2019 - 2020,Rabi,3,3,1,Linseed,Niwari
2018 - 2019,Rabi,34,24,0.71,Linseed,Niwari
2019 - 2020,Rabi,97,71,0.73,Linseed,Niwari
2020 - 2021,Rabi,64,55,0.86,Linseed,Panna
2021 - 2022,Rabi,23,12,0.52,Linseed,Panna
2022 - 2023,Rabi,59,41,0.69,Linseed,Panna
2018 - 2019,Rabi,54,39,0.72,Linseed,Panna
2019 - 2020,Rabi,141,156,1.11,Linseed,Panna
2020 - 2021,Rabi,14,17,1.21,Linseed,Raisen
2021 - 2022,Rabi,14,10,0.71,Linseed,Raisen
2022 - 2023,Rabi,1,1,1,Linseed,Raisen
2018 - 2019,Rabi,4,4,1,Linseed,Raisen
2019 - 2020,Rabi,13,14,1.08,Linseed,Raisen
2020 - 2021,Rabi,15,14,0.93,Linseed,Rajgarh
2021 - 2022,Rabi,34,29,0.85,Linseed,Rajgarh
2022 - 2023,Rabi,68,58,0.85,Linseed,Rajgarh
2018 - 2019,Rabi,2125,3598,1.69,Linseed,Rajgarh
2019 - 2020,Rabi,2403,3682,1.53,Linseed,Rajgarh
2020 - 2021,Rabi,1868,3027,1.62,Linseed,Ratlam
2021 - 2022,Rabi,4447,3913,0.88,Linseed,Ratlam
2022 - 2023,Rabi,6968,5853,0.84,Linseed,Ratlam
2018 - 2019,Rabi,2003,1122,0.56,Linseed,Ratlam
2019 - 2020,Rabi,3286,3292,1,Linseed,Ratlam
2020 - 2021,Rabi,2077,1416,0.68,Linseed,Rewa
2021 - 2022,Rabi,2407,1425,0.59,Linseed,Rewa
2022 - 2023,Rabi,3271,2191,0.67,Linseed,Rewa
2018 - 2019,Rabi,286,250,0.87,Linseed,Rewa
2019 - 2020,Rabi,181,194,1.07,Linseed,Rewa
2020 - 2021,Rabi,136,95,0.7,Linseed,Sagar
2021 - 2022,Rabi,361,312,0.86,Linseed,Sagar
2022 - 2023,Rabi,323,246,0.76,Linseed,Sagar
2020 - 2021,Rabi,246,249,1.01,Linseed,Satna
2021 - 2022,Rabi,239,101,0.42,Linseed,Satna
2022 - 2023,Rabi,285,173,0.61,Linseed,Satna
2018 - 2019,Rabi,14,18,1.29,Linseed,Satna
2019 - 2020,Rabi,7,12,1.71,Linseed,Satna
2020 - 2021,Rabi,11,12,1.09,Linseed,Sehore
2021 - 2022,Rabi,18,19,1.06,Linseed,Sehore
2022 - 2023,Rabi,12,12,1,Linseed,Sehore
2018 - 2019,Rabi,3141,1297,0.41,Linseed,Sehore
2019 - 2020,Rabi,2379,1423,0.6,Linseed,Sehore
2020 - 2021,Rabi,2191,1008,0.46,Linseed,Seoni
2021 - 2022,Rabi,25589,1243,0.05,Linseed,Seoni
2022 - 2023,Rabi,2559,1663,0.65,Linseed,Seoni
2018 - 2019,Rabi,490,172,0.35,Linseed,Seoni
2019 - 2020,Rabi,2596,1449,0.56,Linseed,Seoni
2020 - 2021,Rabi,2751,2270,0.83,Linseed,Shahdol
2021 - 2022,Rabi,2221,884,0.4,Linseed,Shahdol
2022 - 2023,Rabi,2745,1620,0.59,Linseed,Shahdol
2018 - 2019,Rabi,27,26,0.96,Linseed,Shahdol
2019 - 2020,Rabi,31,45,1.45,Linseed,Shahdol
2021 - 2022,Rabi,9,8,0.89,Linseed,Shajapur
2022 - 2023,Rabi,32,24,0.75,Linseed,Shajapur
2018 - 2019,Rabi,4,7,1.75,Linseed,Shajapur
2019 - 2020,Rabi,4,8,2,Linseed,Shajapur
2021 - 2022,Rabi,2,2,1,Linseed,Sheopur
2018 - 2019,Rabi,4,10,2.5,Linseed,Sheopur
2019 - 2020,Rabi,4,11,2.75,Linseed,Sheopur
2020 - 2021,Rabi,14,20,1.43,Linseed,Shivpuri
2021 - 2022,Rabi,2,2,1,Linseed,Shivpuri
2022 - 2023,Rabi,23,15,0.65,Linseed,Shivpuri
2018 - 2019,Rabi,1519,588,0.39,Linseed,Shivpuri
2019 - 2020,Rabi,2763,1538,0.56,Linseed,Shivpuri
2020 - 2021,Rabi,2461,2165,0.88,Linseed,Sidhi
2021 - 2022,Rabi,1751,714,0.41,Linseed,Sidhi
2022 - 2023,Rabi,2448,1420,0.58,Linseed,Sidhi
2020 - 2021,Rabi,2509,2259,0.9,Linseed,Singrauli
2021 - 2022,Rabi,1881,1435,0.76,Linseed,Singrauli
2022 - 2023,Rabi,2737,1943,0.71,Linseed,Singrauli
2018 - 2019,Rabi,19,10,0.53,Linseed,Singrauli
2019 - 2020,Rabi,5,5,1,Linseed,Singrauli
2020 - 2021,Rabi,8,4,0.5,Linseed,Tikamgarh
2021 - 2022,Rabi,8,4,0.5,Linseed,Tikamgarh
2022 - 2023,Rabi,6,4,0.67,Linseed,Tikamgarh
2018 - 2019,Rabi,129,92,0.71,Linseed,Tikamgarh
2019 - 2020,Rabi,52,63,1.21,Linseed,Tikamgarh
2020 - 2021,Rabi,51,41,0.8,Linseed,Ujjain
2022 - 2023,Rabi,254,201,0.79,Linseed,Ujjain
2018 - 2019,Rabi,928,659,0.71,Linseed,Ujjain
2019 - 2020,Rabi,1294,1009,0.78,Linseed,Ujjain
2020 - 2021,Rabi,1677,1090,0.65,Linseed,Umaria
2021 - 2022,Rabi,1783,1068,0.6,Linseed,Umaria
2022 - 2023,Rabi,2124,1272,0.6,Linseed,Umaria
2018 - 2019,Rabi,27,29,1.07,Linseed,Umaria
