Year,Season,Area,Production,Crop_yield,crop_type,district
2021 - 2022,Rabi,197281,842193,4.27,Wheat,Khargone
2022 - 2023,Rabi,221965,947569,4.27,Wheat,Khargone
2018 - 2019,Rabi,53435,123324,2.31,Wheat,Khargone
2019 - 2020,Rabi,82291,160056,1.95,Wheat,Khargone
2020 - 2021,Rabi,75959,246715,3.25,Wheat,Mandla
2021 - 2022,Rabi,70707,161495,2.28,Wheat,Mandla
2022 - 2023,Rabi,78957,182391,2.31,Wheat,Mandla
2018 - 2019,Rabi,159314,684705,4.3,Wheat,Mandla
2019 - 2020,Rabi,238130,1338767,5.62,Wheat,Mandla
2020 - 2021,Rabi,122427,443675,3.62,Wheat,Mandsaur
2021 - 2022,Rabi,214793,811489,3.78,Wheat,Mandsaur
2022 - 2023,Rabi,204901,774116,3.78,Wheat,Mandsaur
2018 - 2019,Rabi,120546,487757,4.05,Wheat,Mandsaur
2019 - 2020,Rabi,123768,442842,3.58,Wheat,Mandsaur
2020 - 2021,Rabi,119968,479392,4,Wheat,Morena
2021 - 2022,Rabi,86097,365654,4.25,Wheat,Morena
2022 - 2023,Rabi,101586,431436,4.25,Wheat,Morena
2018 - 2019,Rabi,120227,439773,3.66,Wheat,Morena
2019 - 2020,Rabi,145047,705509,4.86,Wheat,Morena
2020 - 2021,Rabi,153258,644910,4.21,Wheat,Narsinghpur
2021 - 2022,Rabi,147372,623091,4.23,Wheat,Narsinghpur
2022 - 2023,Rabi,154811,639060,4.13,Wheat,Narsinghpur
2020 - 2021,Rabi,41206,109484,2.66,Wheat,Neemuch
2021 - 2022,Rabi,88702,368557,4.16,Wheat,Neemuch
2022 - 2023,Rabi,88493,367688,4.15,Wheat,Neemuch
2019 - 2020,Rabi,77809,245332,3.15,Wheat,Neemuch
2020 - 2021,Rabi,63320,163999,2.59,Wheat,Neemuch
2021 - 2022,Rabi,69146,195131,2.82,Wheat,Niwari
2022 - 2023,Rabi,74106,209127,2.82,Wheat,Niwari
2018 - 2019,Rabi,105107,285197,2.71,Wheat,Niwari
2019 - 2020,Rabi,146314,360957,2.47,Wheat,Niwari
