rabi_year,T2M_MAX,T2M,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2018,28.94627118644068,19.7122033898305,12.065762711864405,4.58,17.07186440677966
2019,26.859666666666666,17.47933333333333,10.04591666666667,9.15,16.000916666666665
2020,23.784628099173553,16.37363636363636,10.370330578512391,38.81,14.667933884297518
2021,27.54425,18.683416666666677,11.506166666666662,81.97000000000001,15.31558333333333
2022,25.041833333333333,16.780000000000005,10.082916666666673,58.48999999999999,15.027750000000003
2023,25.931500000000003,17.241666666666664,10.573,10.209999999999997,16.31433333333333
2024,26.483606557377048,18.379344262295085,12.426557377049182,20.900000000000002,12.931311475409839
