year,NDVI,EVI,NDWI,district
2018,0.3384222463451999,1.0128470217208694,0.0043783592391921,Jhabua
2019,0.3976178070482558,10.039994416935668,0.0168764782575944,Jhabua
2020,0.384163269767656,1.4447985549704427,-0.0082442034048787,Jhabua
2021,0.3633431730479134,1.3982497741704996,0.026776631266186,Jhabua
2022,0.2590794254316516,0.6647192190486517,0.0118731286818749,Jhabua
2018,0.3665267016423953,-0.1017655385964938,0.0709090183487995,WestNimar
2019,0.4389136159169962,-1.5002450398757528,0.0745570753313921,WestNimar
2020,0.3720355704686867,0.023609955482094,0.0269776201277338,WestNimar
2021,0.3178801820964043,0.5211252851692306,0.0425009188397975,WestNimar
2022,0.2694265243756514,1.2993897475295029,0.0427907342948338,WestNimar
2018,0.4903133642382167,-0.6462727090242876,0.1317312228315161,Guna
2019,0.4768279741064544,-0.4905924306620697,0.0888506230176422,Guna
2020,0.4542442563974381,0.1158108699445829,0.0710169009698838,Guna
2021,0.409725217604011,0.3665091261824436,0.096734228135401,Guna
2022,0.304989359146845,0.2345700899211921,0.0659406539613947,Guna
2018,0.5661927249167186,-1.5688142456576073,0.2084711875675971,Vidisha
2019,0.5344733282951462,0.8316706031876392,0.163254045896082,Vidisha
2020,0.4994036143614412,0.4563078475776049,0.1315495222548563,Vidisha
2021,0.4385249637927685,-0.8053478326023998,0.1306445559736084,Vidisha
2022,0.3302661262506052,0.3454731477815494,0.101736393911634,Vidisha
2018,0.5103595818678932,-7.01155532925304,0.2206864944627257,Mandsaur
2019,0.3884041877442985,1.0257331958973874,0.1644831984842583,Mandsaur
2020,0.3617353216325011,1.3675297184643955,0.1138274019914094,Mandsaur
2021,0.3825571563734379,0.0512053828196401,0.1601215539391332,Mandsaur
2022,0.290577366423881,0.2111544829961568,0.1059012425725015,Mandsaur
2018,0.41034116419641,-0.7669923791578158,0.050815331101233,Gwalior
2019,0.429615253469317,0.3287539783976815,0.0283494153489287,Gwalior
2020,0.3676817587341959,1.001013028023655,-0.0001228656717825,Gwalior
2021,0.3730028214330745,-0.1721913017684834,0.0474355440335344,Gwalior
2022,0.2888599757063168,0.0446343899086871,0.0309430984392515,Gwalior
2018,0.4920919502377449,-1.3582547215000882,0.1624588289198514,Sehore
2019,0.5309539773010891,-1.4771762273184832,0.1614243569646488,Sehore
2020,0.4676082827760296,1.4082271793467676,0.0987882090202885,Sehore
2021,0.4249779043745615,-3.0327450759132097,0.1161959186714301,Sehore
2022,0.3242456455045454,0.6560158421853772,0.1011838557239128,Sehore
2018,0.5487557931586514,-2.0433884106316804,0.2356473082163609,Ujjain
2019,0.5352238950265852,0.1581279477138725,0.2122764691419048,Ujjain
2020,0.5326203152860173,0.2500291458823956,0.1921210864484485,Ujjain
2021,0.4505999946978892,0.878695069362775,0.1754653026225881,Ujjain
2022,0.3685503833562378,0.2504081713410171,0.1653257331892626,Ujjain
2018,0.4461946099317794,0.3163766101910835,0.0913342808846238,Raisen
2019,0.4770071622394374,3.0907918271894026,0.089441600162166,Raisen
2020,0.4375900826833773,0.3629646314364516,0.055103989477994,Raisen
2021,0.3957902467499483,0.7066011840778876,0.0713725837297349,Raisen
2022,0.295733712295453,-0.1925145242091316,0.0617183894410959,Raisen
2018,0.5144226583136366,2.5193395488883867,0.1955480279909337,Rajgarh
2019,0.4870986783333501,0.3836162565700053,0.1577842286360914,Rajgarh
2020,0.468428239552904,-0.7022488462594793,0.1353661813707536,Rajgarh
2021,0.4168532120383905,0.5978123202944123,0.1457327074612162,Rajgarh
2022,0.3251292947882609,0.2170577262383988,0.1195476068116562,Rajgarh
2018,0.4452319670955628,7.7632768550491935,0.1097694238376964,Datia
2019,0.4547489479054916,1.393637074643287,0.0920684127436612,Datia
2020,0.398774226346609,0.0194932246917638,0.0564968460200318,Datia
2021,0.4014980870661089,0.3736754363575533,0.1078460001301361,Datia
2022,0.3107709210244441,0.3352389825472671,0.0789076498597278,Datia
2018,0.3564714146278865,-0.3055218480378393,-0.0345064466818491,Betul
2019,0.4744646719483555,-0.5561774946171919,0.0392370924200478,Betul
2020,0.4398242162182786,0.8467336830628678,-0.009535619193923,Betul
2021,0.3972107870680586,0.2951226645099674,0.0247967659982273,Betul
2022,0.2809628107261923,1.0426452982554162,0.0158979376500359,Betul
2018,0.3973298891685761,4.328576275469871,0.1019620617648392,Dhar
2019,0.4498877099837853,-14.41279751882017,0.1059005230552184,Dhar
2020,0.4208527628724928,0.3205812465407259,0.0807005443470378,Dhar
2021,0.3778167407840825,2.8841288977978654,0.0934429239849848,Dhar
2022,0.2947006553438626,1.6928765299525983,0.0775584558807164,Dhar
2018,0.4441712198296473,0.5241165658970051,0.0459758953325258,Damoh
2019,0.4416587332717005,0.4198991392392072,0.0156003766150689,Damoh
2020,0.4197135744083564,0.6976222236150819,-0.0057883143620869,Damoh
2021,0.3577036639608578,1.5284669473266788,-0.0036065492300674,Damoh
2022,0.2836990952947418,1.3570226683136664,0.0142096868476251,Damoh
2018,0.5710563762327749,0.4319449197701802,0.2130421585121769,Harda
2019,0.5444515566872765,0.5885788721580874,0.1639865240346672,Harda
2020,0.4797264759450063,-0.6121081452613574,0.0989356481221059,Harda
2021,0.4443043088028584,0.6098175648461639,0.1106882352615504,Harda
2022,0.3202273773033762,-5.290678631735962,0.088392417247418,Harda
2018,0.3224026247902131,0.1986021743014183,-0.0033515387834709,Burhanpur
2019,0.4416245617871571,-3.1279347987181927,0.0316522162746569,Burhanpur
2020,0.3785714817163934,0.1701458457447494,-0.0237230504238703,Burhanpur
